id,name,price_nzd,room_type,accommodates,minimum_nights,review_scores_rating,number_of_reviews,last_review,region_parent_name,latitude,longitude,host_name,formatted_price
l803242157706405569,Guesthouse in Raglan · ★5.0 · 1 bedroom · 1 bed · 1 bath,135.0,Entire home/apt,2,2,5.0,24,2023-08-13,Waikato District,-37.80208,174.89278000000004,Susan,$135.00
l33946697,Chalet in Napier · ★4.98 · 1 bedroom · 2 beds · 1.5 baths,295.0,Entire home/apt,4,2,4.98,61,2023-04-04,Napier City,-39.39996,176.87112,Ngaire,$295.00
l544367297303429907,Home in Himatangi Beach · ★4.33 · 4 bedrooms · 5 beds · 2 baths,381.0,Entire home/apt,8,2,4.33,3,2023-01-22,Manawatu District,-40.37236,175.23148,Bachcare,$381.00
l905409109835853592,Townhouse in Raglan · ★New · 4 bedrooms · 5 beds · 3 baths,709.0,Entire home/apt,8,2,,0,,Waikato District,-37.807636125198535,174.86166134973757,The Ridleys,$709.00
l8975785,Rental unit in Queenstown · ★4.55 · Studio · 1 bed · 1 bath,180.0,Entire home/apt,2,1,4.55,420,2023-08-19,Queenstown-Lakes District,-45.03166,168.66961,Paul,$180.00
l17239458,Cabin in Coromandel · ★4.97 · 2 bedrooms · 2 beds · 1 shared bath,145.0,Private room,3,2,4.97,34,2023-03-25,Thames-Coromandel District,-36.73711,175.50171,Laurie-Ann,$145.00
l13080345,Home in Waiheke Island · ★4.84 · 4 bedrooms · 5 beds · 3.5 baths,977.0,Entire home/apt,8,2,4.84,43,2023-03-11,Auckland,-36.78577,175.01774,Be My Guest,$977.00
l8953952,Rental unit in Raglan · ★4.60 · 1 bedroom · 1 bed · 1.5 baths,62.0,Entire home/apt,2,2,4.6,176,2023-08-17,Waikato District,-37.828,174.82363,Belinda,$62.00
l29617439,Bungalow in Gisborne · ★4.82 · 1 bedroom · 1 bed · 1 private bath,86.0,Private room,2,1,4.82,153,2023-08-11,Gisborne District,-38.65734000000001,178.03099999999995,David,$86.00
l50702887,Cottage in Auckland · ★4.42 · 2 bedrooms · 3 beds · 1 bath,350.0,Entire home/apt,4,3,4.42,12,2023-08-24,Auckland,-36.92368,174.56478,Toodle,$350.00
l781935720028187330,Camper/RV in Te Puke · 3 bedrooms · 1 bed · 3 baths,300.0,Entire home/apt,8,99,,0,,Western Bay of Plenty District,-37.82477,176.33665,William,$300.00
l20804958,Home in Dunedin · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,110.0,Private room,2,1,4.67,3,2020-02-04,Dunedin City,-45.89261,170.5402,Diana,$110.00
l678511672933494001,Bed and breakfast in Ohakune · 1 bedroom · 2 beds · 1 private bath,350.0,Private room,4,2,5.0,2,2022-08-27,Ruapehu District,-39.41217,175.36257,Daniel,$350.00
